company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Fisons Bangladesh Ltd.,France,pharmaceutical preparations,48.4,1300.0,1964.0,False,False,False,False
The General Electric Co. of Bangladesh Ltd.,United Kingdom,motors and generators,37.7,1200.0,1962.0,False,False,True,False
Mamiya-Op (Bangladesh) Ltd.,Japan,sporting and athletic goods,16.7,600.0,1991.0,False,False,False,False
Organon Bangladesh Ltd.,Netherlands,pharmaceutical preparations,9.1,1000.0,1965.0,False,False,False,False
Anada Computers,United States,office equipment,8.7,40.0,1987.0,False,False,False,False
Citech Co. Ltd.,United States,office equipment,4.6,50.0,1987.0,False,False,False,False
Bengal Fisheries Ltd.,Japan,fishing,1.4,20.0,1993.0,False,True,False,False
Toka Ink (Bangladesh) Ltd.,Japan,printing ink,,,,False,False,False,False
Highspeed Shipbuilding and Heavy Engineering Co. Ltd.,Japan,construction and engineering,0.2,100.0,1982.0,False,False,False,False
Bangladesh Oxygen,United Kingdom,industrial gases,,5000.0,1964.0,False,False,True,False
Glaxo Wellcome Bangladesh Ltd.,United Kingdom,pharmaceutical preparations,,2700.0,1962.0,False,False,True,False
Renata Limited,United States,pharmaceutical preparations,,600.0,1979.0,False,False,False,False
Vanik Bangladesh Limited,Sri Lanka,other depository bank functions,,140.0,1997.0,True,False,False,False
Tm International (Bangladesh) Ltd.,Malaysia,electronic parts and equipment,,15.0,1996.0,True,False,False,False
Bangladesh Tobacco Co. Ltd.,United Kingdom,cigarettes,,,,False,False,True,False
Basf Bangladesh Ltd.,Germany,,,,,False,False,False,False
Bayer (Bangladesh) Ltd.,Germany,,,,,False,False,False,False
Boc Bangladesh Ltd.,United Kingdom,industrial gases,,,,False,False,True,False
Deutz Bangladesh Ltd.,Germany,,,,,False,False,False,False
Gec Fans Bangladesh Ltd.,United Kingdom,,,,,False,False,True,False
Gestetner Bangladesh Ltd.,United Kingdom,office equipment,,,,False,False,True,False
Hyundai Cements (Bangladesh) Co. Ltd.,South Korea,cement hydraulic,,,,True,False,False,False
Nestle,Switzerland,,,,,False,False,False,False
Nippon Express Bangladesh Ltd.,Japan,,,,,False,False,False,False
