company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
"Cobol Shipping Co., Inc",Japan,transport,38.4,,1989,False,False,False,False
Vespers Shipping Corp,Japan,transport,26.7,,1993,False,False,False,False
Humolco Trans Inc.,Japan,transport,19.3,,1986,False,False,False,False
Laurel Shipping Corp.,Japan,transport,14.3,,1973,False,False,False,False
Pascal (No.1) Tankers Corp.,Japan,transport,9.1,,1987,False,False,False,False
Mol-Nic Transport Ltd.,Japan,transport,8.7,,1989,False,False,False,False
World Car Carrier Inc.,Japan,transport,7.5,3.0,1988,False,False,False,False
Rosa Shipping Corp.,Japan,transport,6.3,,1995,False,False,False,False
Maple Car Transport Corp.,Japan,transport,5.7,,1983,False,False,False,False
Hoover Shipping Corp.,Japan,trading,5.1,,1978,False,False,False,False
"Rioship Co., Ltd.",Japan,transport,4.5,,1973,False,False,False,False
Ocean Island Shipping Ltd.,Japan,transport,4.1,,1995,False,False,False,False
Russel Shipping Corp.,Japan,transport,3.7,,1973,False,False,False,False
"T.S. Central Shipping Co., Ltd.",Japan,transport,3.4,3.0,1978,False,False,False,False
Tiwai Shipping Corp.,Japan,transport,2.3,,1994,False,False,False,False
Golden Sea Carrier Inc.,Japan,transport,2.2,,1994,False,False,False,False
Asuka Marine Corp.,Japan,transport,1.9,,1996,False,False,False,False
