company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Shell Exploration and Development Madagascar B V,Netherlands,oil and gas exploration,4286.1,66.0,,False,True,False,False
Hoechst Madagascar S A,France,chemicals,7.7,69.0,1969.0,False,False,True,False
Cimelta Madagascar S A,Ireland,nonresidential construction,4.7,600.0,,False,False,False,False
Landis Madagascar S A,Germany,vehicle supplies and new parts,7.1,95.0,,False,False,False,False
Madagascar Daiho Corp. S A,Japan,construction,0.03,,1995.0,False,False,False,False
Bni Credit Lyonnais Madagascar S A,France,commercial banks,,1200.0,,False,False,True,False
Societe Des Cigarettes Melia De Madagascar,France,cigarettes,,427.0,,False,False,True,False
Polo Garments Majunga S A,Belgium,textiles,,200.0,,False,False,False,False
Descours Et Cabaud Madagascar SA,France,construction materials,,125.0,,False,False,True,False
Banque Sbm Madagascar S A,Hong Kong,commercial banks,,93.0,1998.0,True,False,False,False
Soval Madagascar,France,hardware,,9.0,,False,False,True,False
Bull Madagascar SA,France,,,,,False,False,True,False
Demad Ivato,France,,,,,False,False,True,False
I B M Madagascar,United States,,,,,False,False,False,False
Inframad,France,,,,,False,False,True,False
Jullien Ocean Indien Expansion,France,,,,,False,False,True,False
Sif,France,,,,,False,False,True,False
Silac,France,,,,,False,False,True,False
Société Madagache do Pécherie,Japan,fishing,,,1966.0,False,True,False,False
