company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Shorncliffe (Solomon Islands) Ltd.,United Kingdom,,1363.2,,,False,False,True,False
Boral Gas Solomons Ltd.,Australia,gas exploration,1297.8,,,False,True,False,False
Travel Industry Services Ltd.,Fiji,transport,63.8,,,True,False,False,False
Solomon Kitano Hendana Hotel Ltd.,Japan,hotel and motels,2.8,150.0,1989.0,False,False,False,False
Solomon Island Plantations Limited,United Kingdom,fruit & tree nuts,,100.0,1971.0,False,True,True,False
Umw Solomon Islands ltd.,Malaysia,auto dealers,,100.0,1981.0,True,False,False,False
Morgan Equipment Pty ltd.,Malaysia,industrial machinery and equipment,,30.0,1981.0,True,False,False,False
A G C Finance (S.I) Ltd.,Australia,miscellaneous bus credit institutions,,4.0,,False,False,False,False
Air Freight and Document Forwarders Pty Ltd.,Papua New Guinea,freight transport arrangers,,,1982.0,True,False,False,False
Analabs (Solomon Islands) Ltd.,Hong Kong,,,,,True,False,False,False
Boc Gases Solomon Islands Ltd.,United Kingdom,chemicals and allied products,,,1982.0,False,False,True,False
Fielder Industries (S.I) Ltd.,Australia,flour and grain mill products,,,,False,False,False,False
Kitano Construction (S.I.) Ltd.,Japan,construction,,,1985.0,False,False,False,False
Rcl (S.I) Ltd.,Australia,,,,,False,False,False,False
Solomon Islands (International) Ltd.,Australia,,,,,False,False,False,False
Solomon Taiyo Ltd.,Japan,fishing,,,1973.0,False,True,False,False
Solomons Delite Bakery Ltd.,Australia,,,,,False,False,False,False
