company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Pacific Resources Ltd.,Hong Kong,,133.8,,,True,False,False,False
Bhp Steel Building Products New Caledonia Sa,Australia,,133.8,,,False,False,False,False
Qbe Insurance (Vanuatu) Ltd.,Hong Kong,insurance carriers,9.2,,,True,False,False,False
Bpt (Vanuatu) Limited,Japan,new and used car dealers,4.2,70.0,1947.0,False,False,False,False
Santo Meat Packers Ltd.,Japan,food,2.7,50.0,1981.0,False,False,False,False
A C G Finance (Vanuatu) Ltd.,Australia,personal credit institutions,0.5,,1987.0,False,False,False,False
Delta Gold Vanuatu Ltd.,Australia,,0.4,,,False,False,False,False
Van Plaza Ltd.,Japan,real estate,0.1,200.0,1989.0,False,False,False,False
Socometra Vanuatu Ltd.,France,household appliance stores,,50.0,1983.0,False,False,False,False
Austpac Resources (Vanuatu) Ltd.,Australia,metal mining services,,,,False,True,False,False
Barclays Nominees Beneficial Acceptances Ltd.,United Kingdom,,,,,False,False,False,False
Bnp Vila Limited,France,,,,,False,False,False,False
Boral Gas (Vanuatu) Ltd.,Australia,bottled gas dealers,,,1973.0,False,False,False,False
Eruiti Island Village rance,France,,,,,False,False,False,False
Hambro International Asset Finance Ltd.,United Kingdom,,,,,False,False,False,False
Holiday Villages Vanuatu,France,,,,,False,False,False,False
International Leasing (Vanuatu) Ltd.,France,,,,1987.0,False,False,False,False
Metenesel Estates Ltd.,United Kingdom,,,,,False,False,False,False
Paragon Gold (Vanuatu) Pty Ltd.,Australia,gold ores,,,,False,True,False,False
South Pacific Finance Ltd.,Hong Kong,,,,,True,False,False,False
Timber Investments Management (Vanuatu) Pty Ltd.,United Kingdom,,,,,False,False,False,False
Union Electrique Du Vanuatu Limited,France,electric services,,,1983.0,False,False,False,False
Viacom Pacific Limited,United States,,,,,False,False,False,False
Wallem (Overseas)Holdings Ltd.,Hong Kong,,,,,True,False,False,False
