company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
John Walkden and Cie,Netherlands,piece goods,39.2,74.0,,False,False,False,False
Benin Sheraton Hotel,United States,hotel and motels,4.9,251.0,,False,False,False,False
Société Béninoise De Gaz Industriel Sobegi,France,bottled gas dealers,1.6,18.0,,False,False,True,False
Société Béninoise De Pièces Automobile De Tourisme,France,new and used car dealers,50.0,,,False,False,True,False
Promo Pharma S A R L,France,drugs proprietaries and sundries,,15.0,1991.0,False,False,True,False
Etde Benin,France,,,,,False,False,True,False
Prezioso Benin,France,,,,,False,False,True,False
Sdv Benin,France,,,,,False,False,True,False
S G S Benin S A,Switzerland,,,,,False,False,False,False
Groupama Vie Benin,France,,,,,False,False,True,False
