company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Equatorial Business Group Ltd,United Kingdom,electrical appliances,15.6,350.0,,False,False,False,False
Ethio-Japanese Synthetic Textiles Share Co.,Japan,textiles,6.7,3340.0,1966.0,False,False,False,False
Basf (Ethiopia) Ltd P L C,Germany,chemicals and allied products,4.5,9.0,,False,False,False,False
GCS-NCR Ethiopia,United States,computer equipment/software,1.0,35.0,,False,False,False,False
Beiner Co.,Germany,drugs proprietaries and sundries,0.7,5.0,,False,False,False,False
Afcor (Ethiopia) P L C,United Kingdom,computer equipment/software,0.5,50.0,,False,False,False,False
Motor & Engineering Co Of Ethiopia Ltd,United Kingdom,cars and other motor vehicles,,401.0,,False,False,False,False
Addis Ababa Hilton,United Kingdom,hotel and motels,,320.0,,False,False,False,False
Shell Ethiopia Ltd.,Netherlands,petroleum products except bulk terminals,,140.0,,False,False,False,False
A B B Midrock Industrial Services P L C,Switzerland,,,88.0,,False,False,False,False
Mitsubishi Ethiopia Trading Pte Ltd Co.,Japan,,,17.0,1967.0,False,False,False,False
Ayderus Hussein Mohamed Farag,India,groceries and related products,,15.0,,True,False,False,False
Shell Chemical Company of Eastern Africa Limited,Netherlands,,,,,False,False,False,False
Ethiopian Pioneer Hi-Bred Seeds Inc.,United States,,,,,False,False,False,False
Gellatly Hankey and Co (Ethiopia) S C,United Kingdom,,,,,False,False,False,False
Inchcape Ethiopia Ltd.,United Kingdom,,,,,False,False,False,False
Joe Hansen & Soehne (Ethiopia) Ltd.,Germany,,,,,False,False,False,False
