company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Compagnie Shell De Guiée,Netherlands,petroleum products except bulk terminals,50.0,,,False,False,False,False
Société Ouest Africaine D'Entreprises Maritime S A,Luxembourg,freight transport arrangers,,160.0,,False,False,False,False
Compagnie Des Bauxites De Guinée S A,Netherlands,nonmettalic minerals,,3500.0,1964.0,False,True,False,False
Société De Télécommunication Guinienne S A,Malaysia,phone communications,,820.0,1993.0,True,False,False,False
S D V Guinée S A,France,other water transport,,120.0,,False,False,True,False
Union Internationale De Banque En Guinée,France,commercial banks,,110.0,1988.0,False,False,True,False
Nestlé Guinea Sa,Switzerland,confectionery,,100.0,,False,False,False,False
S G S Guinee Conakry S A,Switzerland,soil preparation services,,60.0,,False,False,False,False
Société Saksons De Comerce S A R L,Hong Kong,groceries and related products,,20.0,1989.0,True,False,False,False
Friedlander Guinée,France,,,,,False,False,True,False
Laborex,France,,,,,False,False,True,False
