company,home_economy,industry,sales_millions,employment,year_of_establishment,emne,nat_res_ind,former_col_power,bordering_country
Colgage Palmolive Mocambique L D A,United States,soap and other detergents,9118.2,95.0,1993.0,False,False,False,False
Banco Standard Totta De Mocambique Sarl,Portugal,commercial banks,18.4,450.0,,False,False,True,False
Brithol Michcoma Mocambique Limitada,United Kingdom,office equipment,6.0,87.0,1987.0,False,False,False,False
Cartonagem De Mocambique L D A,South Africa,converted paper products general,3.0,200.0,1964.0,True,False,False,True
Quintas and Quintas Mocambique S A R L,Portugal,electrical appliances,1.5,15.0,,False,False,True,False
Entreposto Frigorifiqcio de Pesca de Mozambique Ltda,Japan,,,473.0,1978.0,False,False,False,False
Construtora Norberto Odebrecht S A,Brazil,engineering services,,300.0,,True,False,False,False
Construtora Norberto Odebrecht S A,Brazil,engineering services,,300.0,,True,False,False,False
Sociedade Mocambique Do Acumulador Tudor SARL,Portugal,electrical equipment and wiring,,180.0,,False,False,True,False
Van Leer Mocambique Lda,Netherlands,,,49.0,,False,False,False,False
Construcoes Edgar Miller Mocambique Limitada,Portugal,nonresidential construction,,22.0,,False,False,True,False
Ami Mocambique S A R L,Belgium,transport,,,,False,False,False,False
Empresa Quimica De Mocambique Ltd.,South Africa,chemicals,,,,True,False,False,True
Pandrol Ltd.,United Kingdom,,,,,False,False,False,False
Pfizer Limitado,United States,chemicals,,,,False,False,False,False
Campanhia Imobiliaria Mocambique Lda,Italy,,,,,False,False,False,False
Sulbrita Lda,Italy,,,,,False,False,False,False
Alimoc Alimentos De Macambique Ltda,Switzerland,,,,,False,False,False,False
Kuehne & Nagel Mocambique Lda,Switzerland,,,,,False,False,False,False
Volvo Mocambique Limitada,Sweden,,,,,False,False,False,False
Medifarma Limitada,United Kingdom,,,,,False,False,False,False
Empresa Quimica De Mocambique Ltd,South Africa,,,,,True,False,False,True
Ami Mocambique S A R L,Belgium,,,,,False,False,False,False
Pandrol Ltd,United Kingdom,,,,,False,False,False,False
Banco Comercial De Mocambique,Portugal,,,,,False,False,True,False
Schindler Mozambique Lda,Switzerland,,,,,False,False,False,False
