country,year,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,c1_voice_and_acc_1998,c2_pol_stability_1998,c3_gov_effectiveness_1998,c4_reg_quality_1998,c5_rule_of_law_1998,c6_control_of_corruption_1998,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000,geographic_proximity,colonial_link
afghanistan,1999,1,1,1,FALSE,FALSE,FALSE,-1.68,-1.84,,,-1.13,,,13.3,1,1,2,FALSE,FALSE
angola,1999,0.136363636,0.058823529,0.157894737,FALSE,FALSE,FALSE,-1.28,-2.04,-1.63,-1.19,-1.45,-1.05,710,10.4,6,9,15,FALSE,TRUE
bangladesh,1999,0.125,0.130434783,0.176470588,FALSE,FALSE,FALSE,-0.17,-0.44,-0.35,-0.08,-0.72,-0.4,380,9.5,5,8,13,FALSE,TRUE
benin,1999,0,0,0,FALSE,FALSE,FALSE,0.61,0.14,-0.18,-0.07,-0.38,-0.76,380,20,9,32,41,FALSE,TRUE
bhutan,1999,,,,TRUE,TRUE,TRUE,-1.56,0.51,0.27,-0.18,-0.07,0.46,600,,,,0,FALSE,FALSE
burkina_faso,1999,0.125,0.125,1,FALSE,FALSE,FALSE,-0.24,-0.1,-0.09,-0.23,-0.42,-0.51,250,16,5,8,13,FALSE,TRUE
burundi,1999,0,0,0,FALSE,FALSE,FALSE,-1.59,-1.84,-1.04,-1.27,-0.85,-0.8,100,7.1,3,7,10,FALSE,FALSE
cambodia,1999,0,0,0,FALSE,FALSE,FALSE,-0.87,-1.37,-1.04,-0.22,-0.73,-1.27,300,16.2,3,28,31,FALSE,FALSE
cape_verde,1999,,,,TRUE,TRUE,TRUE,0.92,,0.27,-0.57,0.67,-0.29,1250,,,,0,FALSE,FALSE
central_african_republic,1999,0,0,,FALSE,FALSE,TRUE,0.06,0.04,-0.92,-0.57,-0.87,-0.55,250,2.7,2,3,5,FALSE,TRUE
chad,1999,0,0,,FALSE,FALSE,TRUE,-0.83,-1.36,-0.33,-0.67,-0.98,-0.84,210,0.8,2,4,6,FALSE,TRUE
comoros,1999,0,0,,FALSE,FALSE,TRUE,-0.04,,-1.15,-0.7,-0.97,-0.8,390,,,,0,FALSE,TRUE
democratic_republic_of_congo,1999,0,0,0,FALSE,FALSE,FALSE,-1.67,-2.79,-2.07,-2.78,-1.97,-1.58,100,,0,11,11,FALSE,TRUE
djibouti,1999,0.125,0.125,0.2,FALSE,FALSE,FALSE,-0.73,,-0.94,-0.79,-0.32,-0.8,850,,,,0,FALSE,TRUE
equatorial_guinea,1999,0,,0,FALSE,TRUE,FALSE,-1.55,,-1.55,-2.11,-1.69,-0.8,930,,,,0,FALSE,FALSE
eritrea,1999,,,,TRUE,TRUE,TRUE,-1.07,0.98,0.47,0.08,-0.05,0.46,190,21.8,9,0,9,FALSE,FALSE
ethiopia,1999,0.083333333,0.083333333,0.083333333,FALSE,FALSE,FALSE,-0.69,0.18,0.01,-0.14,-0.23,-0.25,100,12,5,1,6,FALSE,FALSE
gambia,1999,0,0,0,FALSE,FALSE,FALSE,-1.18,0.65,-0.14,-0.34,-0.29,-0.49,270,35.4,28,73,101,FALSE,TRUE
guinea,1999,0.285714286,0.333333333,0.5,FALSE,FALSE,FALSE,-0.99,-0.99,-0.34,0.14,-0.89,-0.82,410,16.5,3,12,15,FALSE,TRUE
guinea_bissau,1999,0,0,,FALSE,FALSE,TRUE,-0.34,-0.97,-0.35,-1.3,-1.24,-0.57,130,10.3,9,0,9,FALSE,TRUE
haiti,1999,0,0,0,FALSE,FALSE,FALSE,-0.65,-1.52,-1.08,-0.99,-0.99,-0.85,440,24.3,16,17,33,FALSE,TRUE
kiribati,1999,0,0,0,FALSE,FALSE,FALSE,1.26,,-0.44,-0.96,-0.65,-0.55,960,,,,0,FALSE,FALSE
laos,1999,0,0,0,FALSE,FALSE,FALSE,-1.27,0.98,-0.34,-1.18,-1.07,-0.7,310,44.5,11,10,21,FALSE,FALSE
lesotho,1999,0,0,0,FALSE,FALSE,FALSE,-0.01,0.54,-0.21,0.05,-0.13,0.03,550,18.3,13,42,55,FALSE,TRUE
liberia,1999,0,0,0,FALSE,FALSE,FALSE,-0.9,-1.28,-1.62,-2.35,-1.79,-1.43,140,6.2,2,1,3,FALSE,FALSE
madagascar,1999,0.052631579,0.058823529,0.125,FALSE,FALSE,FALSE,0.4,-0.48,-0.44,-0.48,-1.01,-0.8,230,11.6,4,10,14,FALSE,TRUE
malawi,1999,0,0,0,FALSE,FALSE,FALSE,-0.1,0.09,-0.56,0.1,-0.51,-0.5,160,18.5,7,8,15,FALSE,FALSE
maldives,1999,0.666666667,0.666666667,0.666666667,FALSE,FALSE,FALSE,-1.05,,0.67,0.21,-0.65,-0.55,2170,,,,0,FALSE,FALSE
mali,1999,0,0,,FALSE,FALSE,TRUE,0.38,0.09,-0.06,0.13,-0.57,-0.58,240,12.5,5,5,10,FALSE,TRUE
mauritania,1999,0,0,,FALSE,FALSE,TRUE,-0.91,0.51,-0.24,-0.47,-0.48,-0.29,280,11.3,12,92,104,FALSE,TRUE
mozambique,1999,0.166666667,0.166666667,0.2,FALSE,FALSE,FALSE,-0.1,-0.71,-0.18,-0.29,-1.02,-0.77,200,18.7,5,14,19,TRUE,TRUE
myanmar,1999,0.777777778,0.777777778,0.777777778,FALSE,FALSE,FALSE,-1.92,-1.05,-1.64,-1.25,-1.06,-1.3,,12.2,7,1,8,FALSE,FALSE
nepal,1999,0,0,0,FALSE,FALSE,FALSE,-0.01,-0.43,-0.94,-0.34,-0.25,-0.59,230,30.8,14,1,15,FALSE,FALSE
niger,1999,0,0,0,FALSE,FALSE,FALSE,-0.99,-0.4,-0.84,-0.47,-0.7,-0.88,180,7.9,2,1,3,FALSE,TRUE
rwanda,1999,0,0,0,FALSE,FALSE,FALSE,-1.5,-1.84,-0.84,-0.94,-1.2,-0.55,230,8.3,3,14,17,FALSE,FALSE
samoa,1999,0.333333333,0.333333333,0.333333333,FALSE,FALSE,FALSE,0.6,,-0.14,-0.7,-0.97,-0.29,1430,,,,0,FALSE,FALSE
sao_tome_and_principe,1999,0,0,,FALSE,FALSE,TRUE,0.75,,-0.94,-0.96,-0.97,-0.8,300,,,,0,FALSE,TRUE
senegal,1999,0.037037037,0.045454545,0.125,FALSE,FALSE,FALSE,-0.49,-1.11,0.18,-0.26,-0.26,-0.45,470,29.3,22,55,77,FALSE,TRUE
sierra_leone,1999,0,0,,FALSE,FALSE,TRUE,-1.72,-1.91,-0.47,-1.41,-0.72,-0.72,140,7.9,5,13,18,FALSE,TRUE
solomon_islands,1999,0.294117647,0.357142857,0.357142857,FALSE,FALSE,FALSE,1.11,,-0.84,-1.09,-0.65,-0.55,580,,,,0,FALSE,TRUE
somalia,1999,,,,TRUE,TRUE,TRUE,-1.46,-1.88,-2.12,-2.52,-1.8,-1.43,,11.8,10,3,13,FALSE,FALSE
sudan,1999,0,0,0,FALSE,FALSE,FALSE,-1.71,-2.03,-1.75,-1.14,-1.31,-0.75,370,36.3,21,6,27,FALSE,FALSE
tanzania,1999,0.290322581,0.285714286,0.290322581,FALSE,FALSE,FALSE,-0.4,0.55,-0.4,0.21,-0.28,-0.95,290,4.2,5,19,24,TRUE,FALSE
togo,1999,0.2,0.2,0.2,FALSE,FALSE,FALSE,-1.14,-0.89,-0.44,-0.64,-0.83,-0.45,270,31.6,10,35,45,FALSE,FALSE
tuvalu,1999,,,,TRUE,TRUE,TRUE,1.44,,,,,,,,,,0,FALSE,FALSE
uganda,1999,0.470588235,0.5,0.592592593,FALSE,FALSE,FALSE,-0.61,-0.92,-0.06,0.42,-0.11,-0.62,240,6.7,2,16,18,TRUE,TRUE
vanuatu,1999,0.166666667,0.181818182,0.166666667,FALSE,FALSE,FALSE,0.63,,-0.44,-0.31,-0.65,-0.29,1070,,,,0,FALSE,FALSE
yemen,1999,0,0,0,FALSE,FALSE,FALSE,-0.6,-1.53,-0.41,-0.39,-0.68,-0.57,490,11.5,28,21,49,FALSE,FALSE
zambia,1999,0.038461538,0.043478261,0.090909091,FALSE,FALSE,FALSE,-0.11,-0.04,-0.39,0.32,-0.34,-0.56,340,22,8,13,21,FALSE,TRUE
