industry,nat_resource
agricultural chemicals,
air transport scheduled,
auto dealers,
automobile sales,
banking,
beverages,
blast furnace and steel mills,
bottled and canned soft drinks,
bottled gas dealers,
business consulting services,
cars and other motor vehicles,
cement hydraulic,
chemical preparations,
chemicals,
chemicals and allied products,
cigarettes,
cleaning polishing and sanitation preparations,
commercial banks,
commercial econ/socio/educ research,
commercial printing,
communications equipment ,
computer equipment/software,
confectionery,
construction,
construction and engineering,
construction and mining equipment,
construction materials,
converted paper products general,
cotton fabric mills,
crude petroleum and natural gas,TRUE
crushed and broken limestone,
crushed and broken stone,TRUE
dairy farms,TRUE
detective/security services,
dispensing chemists,
distributive trade,
drilling oil and gas wells,TRUE
drugs proprietaries and sundries,
electric services,
electrical appliances,
electrical equipment and wiring,
electrical work,
electricity,
electronic parts and equipment,
electronics,
engineering services,
farm/garden machinery and equipment,
financing,
fishing,TRUE
fishing net manufacturing,
flour and grain mill products,
flowers/florists supplies,
fluid milk,TRUE
food,
forest nurseries,TRUE
freight transport arrangers,
fruit & tree nuts,TRUE
gas exploration,TRUE
general clothing male,
general farms,TRUE
gold ores,TRUE
groceries,
groceries and related products,
hardware,
heating and air condition supplies,
holding companies,
hotel,
hotel and motels,
household appliance stores,
industrial furnaces & ovens,
industrial gases,
industrial machinery and equipment,
industrial supplies,
insurance agents and borkers,
insurance carriers,
inudstrial gases,
knitting mills nec,
lens,
liquor stores,
lumber plywood and millwork,
machine tools metal cutting,
malt beverages,
management consulting services,
manufacture of bicycles,
manufacturing industries,
medical/dental supplies,
metal mining services,TRUE
mining,TRUE
miscellaneous bus credit institutions,
miscellaneous durable goods,
miscellaneous field crops,TRUE
miscellaneous general stores,
motor vehicle parts,
motor vehicles,
motor vehicles parts,
motor vehicles sales,
motors and generators,
natural gas liquids,TRUE
new and used car dealers,
nondurable goods,
nonmettalic minerals,TRUE
nonresidential construction,
office equipment,
oil and gas exploration,TRUE
oil and gas field services,
optoelectronics,
orthopedic/prosthetic appliances,
other commercial banks,
other depository bank functions,
other trusts,
other water transport,
paints and allied products,
paints varnishes and supplies,
paper mills,
"perfumes, cosmetics, toilet preparations",
personal credit institutions,
petroleum products except bulk terminals,
petroleum refining,
pharmaceutical preparations,
phone communications,
piece goods,
plastic products not elsewhere classified,
printing ink,
radiotelephone communications,
ready mixed concrete,
real estate,
research and development relatif to petroleum,
sea freight transport,
securities,
soap and other detergents,
soil preparation services,
sporting and athletic goods,
state commercial banks,
stationery supplies,
steel products,
storage batteries,
tea production,TRUE
telecommunications,
textiles,
tires and inner tubes,
tobacco,
tobacco farms,TRUE
tobacco products,
tourism and hotel,
trading,
transport,
transportation equipment and supplies,
vehicle parts supplies,
vehicle supplies and new parts,
wet corn milling,
wines and distilled beverages,
womens footwear except athletic,
wood products,
